Time,Sentiment
03/01/2021 11:40,1
03/01/2021 11:45,1
03/01/2021 11:50,1
03/01/2021 11:55,1
03/01/2021 12:01,1
03/01/2021 12:06,1
03/01/2021 12:11,1
03/01/2021 12:16,1
03/01/2021 12:21,1
03/01/2021 12:26,1
03/01/2021 12:31,-1
03/01/2021 12:36,1
03/01/2021 12:41,-1
03/01/2021 12:46,1
03/01/2021 12:51,-1
03/01/2021 12:56,1
03/01/2021 13:01,1
03/01/2021 13:06,1
03/01/2021 13:11,0
03/01/2021 13:16,1
03/01/2021 13:21,1
03/01/2021 13:26,1
03/01/2021 13:31,1
03/01/2021 13:36,1
03/01/2021 13:42,1
03/01/2021 13:47,-1
03/01/2021 13:52,1
03/01/2021 13:57,1
03/01/2021 14:02,1
03/01/2021 14:07,1
03/01/2021 14:12,-1
03/01/2021 14:17,1
03/01/2021 14:22,1
03/01/2021 14:27,-1
03/01/2021 14:32,0
03/01/2021 14:37,-1
03/01/2021 14:43,1
03/01/2021 14:48,0
03/01/2021 14:53,1
03/01/2021 14:58,1
03/01/2021 15:03,1
03/01/2021 15:08,1
03/01/2021 15:13,1
03/01/2021 15:18,1
03/01/2021 15:23,1
03/01/2021 15:28,1
03/01/2021 15:33,1
03/01/2021 15:38,-1
03/01/2021 15:43,1
03/01/2021 15:49,1
03/01/2021 15:54,1
03/01/2021 15:59,1
03/01/2021 16:04,1
03/01/2021 16:09,1
03/01/2021 16:14,1
03/01/2021 16:19,1
03/01/2021 16:24,1
03/01/2021 16:29,1
03/01/2021 16:34,1
03/01/2021 16:39,1
03/01/2021 16:44,1
03/01/2021 16:49,1
03/01/2021 16:54,1
03/01/2021 16:59,1
03/01/2021 17:04,1
03/01/2021 17:10,1
03/01/2021 17:15,1
03/01/2021 17:20,1
03/01/2021 17:25,1
03/01/2021 17:30,1
03/01/2021 17:35,1
03/01/2021 17:40,1
03/01/2021 17:45,1
03/01/2021 17:50,1
03/01/2021 17:55,1
03/01/2021 18:00,1
03/01/2021 18:06,1
03/01/2021 18:11,1
03/01/2021 18:16,1
03/01/2021 18:21,1
03/01/2021 18:26,1
03/01/2021 18:31,1
03/01/2021 18:36,1
03/01/2021 18:41,1
03/01/2021 18:46,1
03/01/2021 18:51,1
03/01/2021 18:57,1
03/01/2021 19:02,0
03/01/2021 19:07,1
03/01/2021 19:12,1
03/01/2021 19:17,1
03/01/2021 19:22,1
03/01/2021 19:27,1
03/01/2021 19:32,1
03/01/2021 19:37,1
03/01/2021 19:42,1
03/01/2021 19:48,1
03/01/2021 19:53,1
03/01/2021 19:58,1
03/01/2021 20:03,1
03/01/2021 20:08,1
03/01/2021 20:13,1
03/01/2021 20:18,-1
03/01/2021 20:23,1
03/01/2021 20:28,1
03/01/2021 20:33,1
03/01/2021 20:38,1
03/01/2021 20:43,1
03/01/2021 20:48,1
03/01/2021 20:53,1
03/01/2021 20:59,1
03/01/2021 21:04,1
03/01/2021 21:09,1
03/01/2021 21:14,1
03/01/2021 21:19,0
03/01/2021 21:24,1
03/01/2021 21:29,1
03/01/2021 21:34,1
03/01/2021 21:39,1
03/01/2021 21:44,1
03/01/2021 21:49,-1
03/01/2021 21:54,1
03/01/2021 21:59,-1
03/01/2021 22:05,1
03/01/2021 22:10,1
03/01/2021 22:15,-1
03/01/2021 22:20,-1
03/01/2021 22:25,1
03/01/2021 22:30,1
03/01/2021 22:35,1
03/01/2021 22:40,1
03/01/2021 22:45,1
03/01/2021 22:50,1
03/01/2021 22:56,1
03/01/2021 23:01,1
03/01/2021 23:06,1
03/01/2021 23:11,1
03/01/2021 23:16,1
03/01/2021 23:21,1
03/01/2021 23:26,1
03/01/2021 23:31,1
03/01/2021 23:36,1
03/01/2021 23:41,1
03/01/2021 23:46,1
03/01/2021 23:51,-1
03/01/2021 23:57,1
04/01/2021 00:02,1
04/01/2021 00:07,1
04/01/2021 00:12,1
04/01/2021 00:17,1
04/01/2021 00:22,-1
04/01/2021 00:27,1
04/01/2021 00:32,1
04/01/2021 00:37,-1
04/01/2021 00:42,1
04/01/2021 00:47,-1
04/01/2021 00:52,1
04/01/2021 00:57,0
04/01/2021 01:02,1
04/01/2021 01:07,1
04/01/2021 01:12,1
04/01/2021 01:17,1
04/01/2021 01:22,1
04/01/2021 01:27,1
04/01/2021 01:32,1
04/01/2021 01:37,1
04/01/2021 01:43,1
04/01/2021 01:48,1
04/01/2021 01:53,1
04/01/2021 01:58,1
04/01/2021 02:03,1
04/01/2021 02:08,1
04/01/2021 02:13,1
04/01/2021 02:18,1
04/01/2021 02:23,-1
04/01/2021 02:28,-1
04/01/2021 02:33,1
04/01/2021 02:38,1
04/01/2021 02:43,1
04/01/2021 02:48,1
04/01/2021 02:53,1
04/01/2021 02:58,-1
04/01/2021 03:03,-1
04/01/2021 03:08,-1
04/01/2021 03:13,-1
04/01/2021 03:18,0
04/01/2021 03:23,-1
04/01/2021 03:28,-1
04/01/2021 03:33,-1
04/01/2021 03:38,-1
04/01/2021 03:43,1
04/01/2021 03:48,1
04/01/2021 03:53,-1
